
Manual Scan of 1-800-300-81xx
all scanned by: jamie faith
Key Pulse - http://fonez.8k.com - fonez@ca.tc

1-800-300-8101    extension 7782 is NOT in service
1-800-300-8102    reorder
1-800-300-8103    some candle company's voicemail system
1-800-300-8104    ring out
1-800-300-8105    out of calling area
1-800-300-8106    cannot be completed as dialed
1-800-300-8107    out of calling area
1-800-300-8108    a Voicemail box press #
1-800-300-8109    answering machine
1-800-300-8110    not in service
1-800-300-8111    VOICE
1-800-300-8112    youdecide.com
1-800-300-8113    proactive sales
1-800-300-8114    meridian mail - the junk one.
1-800-300-8115    VOICE
1-800-300-8116    out of calling area
1-800-300-8117    out of calling area
1-800-300-8118    magellan health - automated
1-800-300-8119    reorder
1-800-300-8120    16-4
1-800-300-8121    reorder
1-800-300-8122    personal health managment - voicemail system
1-800-300-8123    DISconnected
1-800-300-8124    DISconnected
1-800-300-8125    VOICE
1-800-300-8126    cannot be completed as dialed
1-800-300-8127    busy
1-800-300-8128    speedslot number not in service
1-800-300-8129    out of reach
1-800-300-8130    enter your personal ident. number
1-800-300-8131    out of reach
1-800-300-8132    DISconnected
1-800-300-8133    not in service
1-800-300-8134    some erotic gift shop - VoiceMail system
1-800-300-8135    voice mail system
1-800-300-8136    answering machine
1-800-300-8137    out of calling area
1-800-300-8138    ring out
1-800-300-8139    not in service
1-800-300-8140    voicemail system
1-800-300-8141    fax
1-800-300-8142    out of calling area
1-800-300-8143    out of calling area
1-800-300-8144    answering machine
1-800-300-8145    some lose weight program - voicemail system
1-800-300-8146    insurance company - automated
1-800-300-8147    out of calling area
1-800-300-8148    automated - diverted (call forwarding)
1-800-300-8149    out of calling area
1-800-300-8150    apple computers - automated line
1-800-300-8151    cannot be completed as dialed
1-800-300-8152    out of calling area
1-800-300-8153    high - beep
1-800-300-8154    16-4
1-800-300-8155    reorder
1-800-300-8156    cannot be completed as dialed
1-800-300-8157    busy
1-800-300-8158    reorder
1-800-300-8159    out of calling area
1-800-300-8160    cannot be completed as dialed
1-800-300-8161    out of calling area
1-800-300-8162    out of calling area
1-800-300-8163    pager
1-800-300-8164    cannot be completed as dialed
1-800-300-8165    call did not go through - different message?
1-800-300-8166    083p
1-800-300-8167    cannot be completed as dialed
1-800-300-8168    easy reach 800
1-800-300-8169    out of calling area
1-800-300-8170    VOICE
1-800-300-8171    DISconnected
1-800-300-8172    answering machine
1-800-300-8173    cannot be comleted as dialed
1-800-300-8174    VOICE
1-800-300-8175    VOICE
1-800-300-8176    VOICE - has speaker phone, hehe
1-800-300-8177    DISconnected
1-800-300-8178    out of calling area
1-800-300-8179    cannot be completed as dialed
1-800-300-8180    pilgrim telephone
1-800-300-8181    house plus - automated
1-800-300-8182    cannot be completed as dialed
1-800-300-8183    cannot be completed as dialed
1-800-300-8184    voicemail box
1-800-300-8185    fax
1-800-300-8186    out of calling area
1-800-300-8187    that annoying talk line ad!
1-800-300-8188    out of calling area
1-800-300-8189    out of calling area
1-800-300-8190    answering machine
1-800-300-8191    out of calling area
1-800-300-8192    voicemail box
1-800-300-8193    cannot be completed as dialed
1-800-300-8194    out of calling area
1-800-300-8195    siren noise!
1-800-300-8196    voicemail system
1-800-300-8197    out of calling area
1-800-300-8198    DISconnected
1-800-300-8199    4F - 800 # not active
1-800-300-8100    VOICE - Holiday travel




